text_1,text_2,label
"I must admit , when I sat down to watch this , I was pleasantly surprised ; it was funnier than I had imagined . . . however , with my expectations being very , very low , it doesn't really mean that the film is anything more than average . A pretty good amount of laughs , but nothing memorable . The ending seemed to be too much of a "" happy ending "" and was obviously done to open the film up to the mainstream crowd . The plot is decent enough , but it is obviously just written to put the characters in unlikely situations , and is at least a little too over-the-top . The pacing is pretty good , the film isn't really boring","I caught this on a plane , as one of the in-flight movies . This was basically the one that made me feel the least amount of strong repulsion , of all the available choices , so I endured the 90 minutes , with some pretty scattered enjoyment . There are some funny things . . . the scene in the dojo isn't all bad . Mostly , the humor didn't really work , at least for me , though . Tucker seems to be growing more irritating as time goes on , and his character seems to have gotten somewhat incompetent . . . in the first film ( I haven't seen the second ) , he was a good cop , unorthodox , and not necessarily popular , but he didn't come off as inept as he did in this . I'm not sure anyone should have to be subjected to the "" singing "" of either",1
"I was out of town last week doing some recruiting, so I am just reading your e:mail today. I have passed this along to Lisa Cousino and she should be getting back to you. Enron Capital & Trade Resources Canada Corp. From: Cliff Lawrick 09/07/2000 05:16 PM To: Sally Beck/HOU/ECT@ECT cc: Subject: Petro Canada Eric Le Dain is renegotiating the Petro Canada contract and has a question with regard to costs. Canada is allocated a portion of your groups costs via the service agreement and we are trying to determine what portion would be applicable to PetroCanada. Can you provide me with the name of an individual in your group with whom I could discuss this allocation. I'm going to have to provide Eric with an answer by early next week. Thanks for your assistance.","eSource presents Investext training Investext offers immediate online delivery of original-image and full-text research reports from more than 800 of the world's top investment banks, market research firms, and trade associations. This product is designed to provide all the information you need to know about a particular company, industry, or market. Training Agenda Includes: ? General Introduction. ? Querying by company ticker in order to retrieve analyst reports. ? Querying via Investexts free text module to retrieve industry-specific information: including statistics, economic indicators, analysis, trends, forecasts and surveys. Attend one of our Investext Clinics: May. 11 - 10:30 -11:30 AM EB572 And May. 16 - 10:30 -11:30 AM EB572 Seats fill up fast! To reserve a seat, please call Stephanie E. Taylor at 5-7928 Check the eSource training page at http://esource.enron.com/training.doc for additional training sessions and vendor presentations",0
"A mysterious mansion holds secrets and terror for the owner and visitors alike in this thriller , based upon a classic stage play . Cornelia Van Gorder has taken up residence in an old mansion that was the scene of some mysterious deaths years ago . The recent owner of the mansion was a banker who had embezzled money and had hidden it somewhere in the mansion but , he was killed before he was able to retrieve it . Now it appears that someone is stalking the mansion ? according to the DVD sleeve's synopsis . This lesser re-make is most appealing in that it stars enjoyable Agnes Moorehead ( as Cornelia Van Gorder ) and features fine support from Vincent Price ( as Malcolm","Enterprising "" Times Herald "" reporter John Harron ( as Jerry Ross ) investigates "" The Murder in the Museum "" of a city councilman . This "" Museum "" isn't what you may be expecting ; although there appear to be a few paintings on display , it's really a traveling freak show - "" The World's Largest Collection of Natural and Unnatural Wonders "" . Among the attractions : an armless man , a bodiless woman , and the mysterious Henry B . Walthall ( as "" Professor Mysto "" aka Bernard Latham Wayne ) . Patrons seem more interested in scantily-clad dancing women ; unfortunately , they are told to keep it "" tame it down plenty "" when "" the law "" is spotted . The "" Sphere Museum "" is also a front for drug-runners ( which has attracted police and politicians ) . Just before the murder , Mr . Harron meets shapely blonde Phyllis Barrington ( as Lois Brandon ) ; and ,",1
i heard you have extra def leppard tickets? i could use a couple if you have extras. let me know please.,"------------------------------------------------------------------------------ ------------------------ W E E K E N D S Y S T E M S A V A I L A B I L I T Y F O R February 23, 2001 5:00pm through February 26, 2001 12:00am ------------------------------------------------------------------------------ ------------------------ SCHEDULED SYSTEM OUTAGES: ALLEN CENTER OUTAGE: Time: Fri 2/23/2001 at 5:30:00 PM CT thru Sat 2/24/2001 at 7:00:00 AM CT Fri 2/23/2001 at 3:30:00 PM PT thru Sat 2/24/2001 at 5:00:00 AM PT Fri 2/23/2001 at 11:30:00 PM London thru Sat 2/24/2001 at 1:00:00 PM London Facility service outages: 1AC - Chilled water that supports air conditioning 2AC - Electricity and Chilled water that supports air conditioning. 2AC will be CLOSED 3AC - Chilled water that supports air conditioning Contact(s): Randy Lord 713-345-7707 Ken Berryman 713-853-9295 Impact: All Total disruption of network connectivity in 2AC and 3AC and all International offices connected to",0
I got a voicemail response from Jeff - he is fine with me substituting for him on the Japan trip.,"See revised version attached and let me know what you think. Tom Briggs 12/19/2000 10:46 AM To: Steven J Kean/NA/Enron@Enron, Richard Shapiro/NA/Enron@Enron, James D Steffes/NA/Enron@Enron, Linda Robertson/NA/Enron@ENRON, Cynthia Sandherr/Corp/Enron@ENRON, Joe Hartsoe/Corp/Enron@ENRON cc: Subject: draft Lay letter to Gov. Davis Attached is a draft letter. I tried to get it down to one page, but it can use more reduction. I also need info on when the 750MW of capacity will be in service. I am leaving on holiday, so someone (like Rick) will have to complete the letter.",1
". . . another of their loose adaptations of classic horror novels , in which Baron Victor Frankenstein ( the inimitable Peter Cushing ) becomes obsessed with his scientific experiments , and creates large , lumbering being ( Christopher Lee ) that causes chaos and terror . Lee is buried under what must have been pretty elaborate makeup for its time , and you may not recognize him . As befitting a portrayal of the Frankenstein monster , he garners some sympathy for the poor , addled creature . Cushing is also memorable as the hopelessly dedicated Victor , and I enjoyed the work of Robert Urquhart as Paul Krempe , the tutor who at first willingly helps Victor in his pursuits but turns against him when he realizes that nothing good can come of their actions . Not really good enough for me to count as a classic film ; I think that","A race of evil aliens ( they're actually giant cockroaches who inhibit the bodies of recently deceased folks ) call upon the ferocious three-headed dragon King Ghidorah and sharp-beaked bird beast Gigan ( he's got a huge buzzsaw in his belly ! ) to destroy us puny helpless humans so they can take over the planet . Luckily , the almighty Godzilla and his spike-backed gigantic porcupine pal Anguirus come to the rescue . The opening third of this creature feature romp is pretty slow , talky and rather tedious , but fortunately things start to seriously cook when the monsters engage in an incredibly lengthy , violent and vigorous anything-goes fight ( the definite highlight occurs when Anguirus runs its spikes repeatedly into King Ghidorah's torso ! ) . Moreover , the expected protracted mondo destructo city stomp sequence likewise totally hits the satisfying spot . Akira Ifukube's robust , rousing orchestral score",0
"pigern...rest, rest, rest (the only remedy) darth...good luck in vegas. don't forget to put my money down on 'fortune cookie'. knowing your luck, you'll probably come back a millionaire off my measily $2.","I am keeping an eye out for my favorite made-for-tv movie, urlLink If you Believe . If you see it, wouldja urlLink let me know ?",0
"I will fax you another report that should have the same data in a different format. ---------------------- Forwarded by Chris Germany/HOU/ECT on 10/11/2000 08:15 AM --------------------------- Jeff W Westover 10/09/2000 09:21 AM To: Chris Germany/HOU/ECT@ECT, Steve Gillespie/Corp/Enron@ENRON cc: Subject: Columbia Energy Invoices for (Sept. 2000) Attached is a copy of the sales invoices and purchase verifications for Columbia Energy Services for Sept. 2000. Let me know when I can send out the invoices for Columbia Energy. Thanks, Jeff (3-3008)","Robin only bought 2074 dt's for the 2nd. According to the sheet, the Tenn Z6 volumes were 2220 dt's. I told Brian at CES we were going to short Energy North by 146 dt's (the requested 1227 dt's but we only have 1081 dt's). Please let me know how you sourced the gas.",1
There is an Australian counterparty on today's list.,"---------------------- Forwarded by Kay Mann/Corp/Enron on 05/08/2001 07:18 AM --------------------------- From: Zionette Vincent on 05/07/2001 01:50 PM To: Genia FitzGerald/HOU/ECT@ECT, Tracy Ngo/Enron@EnronXGate, Christian Yoder/HOU/ECT@ECT, Kim S Theriot/HOU/ECT@ECT, Rhonda L Denton/HOU/ECT@ECT, Veronica Gonzalez/Enron@EnronXGate, Janet H Moore/HOU/ECT@ECT, Wendy Conwell/Enron@EnronXGate, Paul Radous/Enron@EnronXGate, Marcus Nettelton/NA/Enron@ENRON, Melissa Ann Murphy/HOU/ECT@ECT, Edward Sacks/Enron@EnronXGate, Kay Mann/Corp/Enron@Enron, Steve J Hall/ETOL/EU/Enron@ENRON, Carol St Clair/HOU/ECT@ECT, David Portz/HOU/ECT@ECT cc: Linda J Simmons/HOU/ECT@ECT, Martha Keesler/ENRON@enronXgate, Yolanda Pena/Enron@EnronXGate Subject: Legal Credit Meeting Reminder Legal Credit Meeting Wednesday, May 9, 2001 10:00 AM - 11:00 AM EB38c2 Thanks, ""Z"" (Zionette) Vincent x.54858",0
"---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 01/19/2001 04:59 PM --------------------------- Tom Halliburton@ENRON 01/19/2001 03:19 PM To: Vince J Kaminski/HOU/ECT@ECT, Stinson Gibner/HOU/ECT@ECT, Pinnamaneni Krishnarao/HOU/ECT@ECT, Vasant Shanbhogue/HOU/ECT@ECT, Mike A Roberts/HOU/ECT@ECT, Joseph Hrgovcic/HOU/ECT@ECT, Tanya Tamarchenko/HOU/ECT@ECT, Zimin Lu/HOU/ECT@ECT, Martin Lin/HOU/ECT@ECT, Maureen Raymond/HOU/ECT@ECT, Osman Sezgen/HOU/EES@EES, Paulo Issler/HOU/ECT@ECT, Amitava Dhar/Corp/Enron@ENRON, Alex Huang/Corp/Enron@ENRON, Kevin Kindall/Corp/Enron@ENRON, Kevin G Moore/HOU/ECT@ECT, Clayton Vernon/Corp/Enron@ENRON, William Smith/Corp/Enron@ENRON, Jose Marquez/Corp/Enron@ENRON, Chonawee Supatgiat/Corp/Enron@Enron, Shalesh Ganjoo/HOU/ECT@ECT, Tom Halliburton/Corp/Enron@Enron, Elena Chilkina/Corp/Enron@Enron, Sevil Yaman/Corp/Enron@Enron, Sofya Tamarchenko/NA/Enron@Enron, Bob Lee/NA/Enron@Enron, Gwyn Koepke/NA/Enron@Enron, Hector Campos/HOU/ECT@ECT, Anita DuPont/NA/Enron@ENRON, Youyi Feng/NA/Enron@Enron, V Charles Weldon/HOU/ECT@ECT, Praveen Mellacheruvu/HOU/EES@EES, Li Sun/NA/Enron@Enron, Stephen Bennett/NA/Enron@ENRON, Roman Zadorozhny/HOU/EES@EES, Lance Cunningham/NA/Enron@ENRON, Leann Walton/NA/Enron@ENRON, Shane Green/HOU/EES@EES, Seksan Kiatsupaibul/HOU/EES@EES, Kate Lucas/HOU/ECT@ECT, Nelson Neale/NA/Enron@Enron, Rabi De/NA/Enron@ENRON, Kenneth Parkhill/NA/Enron@ENRON, Jaesoo Lew/NA/Enron@ENRON, Jason Sokolov/HOU/ECT@ECT, Steve Bigalow/NA/Enron@Enron, Tom Barkley/NA/Enron@Enron, Rakesh Bharati/NA/Enron@Enron cc: Subject: Non Linear Optimization -","Bryan Please, take a look at the resume of Howard Haughton. He looks like an answer to your prayers. It's the first attachment. Vince P.S. Jeff, the headhunter, can be reached at (949) 813 2241. Please, set up the interview, if interested, through him. ---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 01/18/2001 01:57 PM --------------------------- ""$$$$$$$$$$$$$$$$$$$$$$$$$$$"" <jjw@ziplip.com> on 01/12/2001 12:51:59 PM Please respond to ""$$$$$$$$$$$$$$$$$$$$$$$$$$$"" <jjw@ziplip.com> To: Vince.J.Kaminski@enron.com cc: molly.magee@enron.com Subject: 1 Candidate and 2 interns Hi Vince and Molly. Here attached is one candidate who is particularly interested in having his profile sent to Vince...he is going to be traveling to NY from the UK soon for 2 wks. He specifically asked my partner at RobertWalters in the UK to investigate Enron through my new relationship with you guys. He would be Howard Haughton, attached",1
